archivo1,archivo2,archivo3,archivo4,archivo5,archivo6,archivo7,archivo8,archivo9,archivo10,archivo11,archivo12,archivo13,archivo14,archivo15
0.228152,0.229024,0.230855,0.119058,0.090714,1.02789,0.0379964,1.26424,0.0278572,0.021411,0.0358913,0.0327813,0.063765,0.0699324,0.0801761
0.203164,0.232396,0.233452,0.112594,0.0864328,1.03274,0.0379905,1.24512,0.0287132,0.019486,0.0303139,0.045263,0.0540937,0.0741929,0.0569823
0.210682,0.246002,0.232655,0.114051,0.0866405,1.01871,0.0313205,1.23601,0.0215731,0.0184112,0.0207922,0.0302268,0.0605156,0.0628068,0.0596389
0.220931,0.245831,0.238144,0.107578,0.0832337,1.00642,0.0312558,1.31315,0.0239749,0.0204476,0.0203678,0.0262765,0.0534691,0.0554282,0.0523085
0.210652,0.242993,0.304519,0.111068,0.103635,1.08756,0.0376046,1.23455,0.0223169,0.0163408,0.0216351,0.0234848,0.070254,0.0682084,0.061925
0.217446,0.216323,0.266731,0.118699,0.0859991,1.02042,0.0304805,1.2344,0.0229067,0.022178,0.0429649,0.027345,0.0611176,0.0513005,0.0561056
0.208258,0.228756,0.232647,0.110238,0.0875704,1.00421,0.0325358,1.26218,0.0244529,0.0191348,0.0268884,0.0270782,0.064701,0.060255,0.065484
0.210521,0.267807,0.233703,0.111522,0.0850537,1.01072,0.0353904,1.25727,0.0232531,0.0162555,0.0205447,0.0456637,0.0620785,0.0543846,0.0540378
0.220857,0.220195,0.272975,0.111669,0.10616,1.00557,0.0520027,1.31405,0.0264698,0.018292,0.0237786,0.038628,0.0811732,0.0598655,0.0626918
0.322455,0.260295,0.250467,0.133833,0.0890903,1.01354,0.0409445,1.25631,0.0229182,0.0257078,0.0276175,0.0254362,0.0539576,0.0514302,0.0561164
0.284581,0.251172,0.243342,0.112574,0.0821761,1.01026,0.0314,1.26319,0.0228725,0.027979,0.0278038,0.0244046,0.0621931,0.05505,0.0715341
0.256611,0.233191,0.29529,0.125479,0.0865658,1.04264,0.0360335,1.25625,0.0368242,0.0164236,0.0350742,0.0249247,0.0570643,0.0539932,0.0526672
0.223332,0.223072,0.260811,0.115599,0.0891237,1.00804,0.0525428,1.23926,0.0226952,0.0161238,0.0347058,0.0229021,0.0813424,0.0556,0.0578012
0.277388,0.21521,0.27362,0.110583,0.0851772,1.0107,0.0329187,1.25152,0.0224039,0.0218131,0.0308775,0.0220273,0.0547604,0.0527558,0.0575892
0.268964,0.222824,0.231295,0.125419,0.0966737,1.07169,0.0463103,1.2423,0.0223177,0.0217984,0.0302096,0.0250436,0.0593518,0.0594471,0.0624129
0.212626,0.235698,0.228125,0.107196,0.0874671,1.04555,0.0308001,1.27619,0.0242849,0.0162531,0.0271763,0.0241966,0.0538561,0.0544921,0.0562684
0.282657,0.269699,0.241123,0.109285,0.0887416,1.09163,0.0357965,1.23804,0.0234075,0.0164564,0.0218213,0.0385401,0.0619441,0.0656822,0.0709946
0.22661,0.24452,0.23241,0.113811,0.0836046,1.01667,0.0527636,1.23935,0.0276173,0.0205212,0.0205692,0.0264126,0.061015,0.0597474,0.0706881
0.265897,0.241752,0.233367,0.11387,0.0897199,1.00931,0.0339336,1.23544,0.0227378,0.0254377,0.0281374,0.0268118,0.059267,0.0644782,0.0608945
0.308761,0.300269,0.24865,0.131736,0.0873875,1.25753,0.0504651,1.38194,0.0235021,0.0225544,0.0297073,0.0225398,0.0535742,0.0689783,0.0773759
0.354543,0.305283,0.269429,0.107489,0.0861028,1.03039,0.0529467,1.29325,0.0238899,0.022759,0.0227546,0.0227536,0.0776454,0.0769588,0.0782289
0.335577,0.273666,0.234955,0.108195,0.0860085,1.02105,0.0355593,1.33567,0.0224191,0.0230862,0.0206456,0.0259617,0.061317,0.0745199,0.060765
0.355783,0.228487,0.237138,0.114601,0.0904113,1.00585,0.0310169,1.28739,0.0287655,0.0238939,0.0399214,0.0244996,0.0819425,0.0647207,0.0796946
0.284713,0.221614,0.232378,0.123641,0.0813472,1.00288,0.0389691,1.25622,0.0431287,0.0165398,0.0327529,0.0296368,0.0618692,0.073465,0.0605122
0.24819,0.228077,0.238767,0.112212,0.0903226,0.996603,0.0321099,1.38083,0.0416314,0.0194072,0.0200831,0.044117,0.061494,0.066463,0.0791425
0.223024,0.223395,0.230689,0.109882,0.0870893,1.01428,0.0324123,1.27394,0.0315626,0.0161316,0.024947,0.0335946,0.0534577,0.0802343,0.0525458
0.218687,0.230507,0.254566,0.123775,0.0887256,1.00036,0.0320508,1.24093,0.039505,0.0222477,0.0304458,0.0270377,0.0604462,0.0719897,0.0624573
0.262841,0.255325,0.256492,0.114542,0.0815535,0.997437,0.0482398,1.23339,0.0293112,0.020065,0.0324034,0.0281937,0.0541041,0.0602309,0.0557336
0.242291,0.220867,0.227449,0.114291,0.0896114,1.01921,0.0423965,1.2663,0.0235294,0.0200116,0.0285576,0.0240513,0.0678797,0.056202,0.0678825
0.211031,0.234483,0.22681,0.130737,0.108484,1.01917,0.0381815,1.25239,0.022908,0.0158681,0.0280392,0.0415097,0.0545324,0.0518015,0.0839841
