==========================================================================================================
 REPORTE COMPARATIVO 30 REPETICIONES: Heurística vs Búsqueda Local (LS) vs Búsqueda Local Iterada (ILS)
==========================================================================================================
Archivo                            | Costo H | T. H(s) | Costo LS| T. LS(s)| Costo ILS| T. ILS(s)| Gap H-I%
----------------------------------------------------------------------------------------------------------
uf175-07.cnf                       | 14.00   | 0.0003  | 8.00    | 0.0014  | 5.33     | 0.0397   | 61.9 %
uf175-016.cnf                      | 20.00   | 0.0003  | 13.00   | 0.0018  | 8.50     | 0.0428   | 57.5 %
uf175-011.cnf                      | 20.00   | 0.0003  | 9.00    | 0.0021  | 6.60     | 0.0435   | 67.0 %
uf175-01.cnf                       | 25.00   | 0.0003  | 15.00   | 0.0026  | 8.43     | 0.0430   | 66.3 %
uf175-015.cnf                      | 27.00   | 0.0003  | 17.00   | 0.0023  | 7.23     | 0.0431   | 73.2 %
uf175-08.cnf                       | 19.00   | 0.0003  | 13.00   | 0.0018  | 6.73     | 0.0439   | 64.6 %
uf175-017.cnf                      | 20.00   | 0.0003  | 12.00   | 0.0021  | 8.87     | 0.0454   | 55.7 %
uf175-05.cnf                       | 25.00   | 0.0003  | 18.00   | 0.0017  | 9.57     | 0.0483   | 61.7 %
uf175-018.cnf                      | 19.00   | 0.0003  | 8.00    | 0.0028  | 5.90     | 0.0435   | 68.9 %
uf175-06.cnf                       | 24.00   | 0.0003  | 15.00   | 0.0021  | 8.47     | 0.0467   | 64.7 %
uf175-020.cnf                      | 23.00   | 0.0003  | 15.00   | 0.0021  | 8.73     | 0.0478   | 62.0 %
uf175-019.cnf                      | 22.00   | 0.0003  | 20.00   | 0.0010  | 9.10     | 0.0497   | 58.6 %
uf175-03.cnf                       | 30.00   | 0.0003  | 15.00   | 0.0036  | 7.00     | 0.0488   | 76.7 %
uf175-010.cnf                      | 24.00   | 0.0003  | 16.00   | 0.0023  | 9.40     | 0.0509   | 60.8 %
uf175-09.cnf                       | 21.00   | 0.0003  | 16.00   | 0.0017  | 9.70     | 0.0608   | 53.8 %
uf175-02.cnf                       | 24.00   | 0.0005  | 13.00   | 0.0021  | 8.63     | 0.0610   | 64.0 %
uf175-014.cnf                      | 21.00   | 0.0003  | 15.00   | 0.0021  | 9.97     | 0.0626   | 52.5 %
uf175-012.cnf                      | 20.00   | 0.0003  | 10.00   | 0.0035  | 8.03     | 0.0618   | 59.8 %
uf175-013.cnf                      | 24.00   | 0.0003  | 15.00   | 0.0032  | 6.80     | 0.0603   | 71.7 %
