Archivo,Exacto,Costo H,T. H(s),Costo TS,T. TS(s),Costo SA,T. SA(s),Costo GRASP,T. GRASP(s),Costo AG,T. AG(s)
n6_i4_N500.cnf,--------,56,0.17(1),51,0.4(1),56,0.003(1),53,10(1),56,3.3(8)
n6_i9_N1000.cnf,--------,69,0.17(2),64,0.4(2),69,0.003(1),66,10(2),68,3.5(7)
n6_i9_N10000.cnf,--------,69,0.17(1),64,0.4(1),69,0.004(1),66,10(1),69,3.5(8)
n6_i7_N1000.cnf,--------,155,0.17(2),150,0.5(1),155,0.004(1),152,10(1),155,3.5(7)
n6_i8_N1000.cnf,--------,144,0.16(1),139,0.5(1),144,0.004(1),141,10(1),144,3.5(7)
n7_i8_N1000.cnf,--------,378,1.54(7),370,1.5(2),378,0.008(3),372,170(2),378,21(2)
n7_i8_N10000.cnf,--------,378,1.6(1),370,1.6(2),378,0.008(2),372,170(3),378,22(2)
n7_i9_N500.cnf,--------,220,1.57(9),212,1.6(2),220,0.007(2),214,180(3),220,21(2)
n5_i7_N1000.cnf,--------,1972,3.4(2),1532,1.5(1),1971,0.009(2),202,510(9),1923,27(1)
n5_i8_N10000.cnf,--------,1977,3.4(2),1537,1.5(1),1977,0.009(2),207,500(1),1923,27(2)
n5_i5_N10000.cnf,--------,1953,3.4(2),1513,1.4(2),1953,0.011(5),185,500(1),1908,29(2)
n5_i4_N500.cnf,--------,1949,3.4(2),1509,1.5(3),1949,0.009(2),181,500(1),1887,29(2)
n5_i2_N500.cnf,--------,1952,3.5(2),1512,1.4(2),1952,0.008(1),180,500(1),1905,27(3)
